云服务采购项目-03包云环境国产化软件及安全服务采购结算价格,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
40,安全服务,网络安全服务,日志审计-单日志源,"1、日志审计要求提供全面的智能收集功能。包括通过连接检查和完整性检查以及可自定义的缓存功能，确保系统接收到所有数据，配置过滤和聚合功能可以消除无关数据，并且合并重复的设备日志；
2、标准化日志：将各类日志统一进行解析识别，包括各种安全事件日志（攻击、入侵、异常）、各种行为事件日志（内控、违规）、各种弱点扫描日志（弱点、漏洞）、各种状态监控日志（可用性、性能、状态）；
3、日志解析能力：解析功能和动态规划算法，实现灵活的未解析日志事件处理，同时支持多种解析方法（如正则表达式、分隔符、MIB信息映射配置等）。要求保证事件分析保持高效率和及时性；
4、提供服务器、安全设备等日志审计与分析；支持日志源数量：1个；通过专享安全服务方式，对网络设备、安全设备、主机和应用系统日志进行全面的标准化处理，及时发现各种安全威胁、异常行为事件，为管理人员提供全局的视角，确保业务的不间断运营安全。
5、不包含云化部署需要占用的云资源。",1,套/日,0.84,0.98,0.82
41,安全服务,网络安全服务,日志审计-20日志源,、日志审计要求提供全面的智能收集功能。包括通过连接检查和完整性检查以及可自定义的缓存功能，确保系统接收到所有数据，配置过滤和聚合功能可以消除无关数据，并且合并重复的设备日志；2、标准化日志：将各类日志统一进行解析识别，包括各种安全事件日志（攻击、入侵、异常）、各种行为事件日志（内控、违规）、各种弱点扫描日志（弱点、漏洞）、各种状态监控日志（可用性、性能、状态）；3、日志解析能力：解析功能和动态规划算法，实现灵活的未解析日志事件处理，同时支持多种解析方法（如正则表达式、分隔符、MIB信息映射配置等）。要求保证事件分析保持高效率和及时性；4、提供服务器、安全设备等日志审计与分析；支持日志源数量：20个；通过专享安全服务方式，对网络设备、安全设备、主机和应用系统日志进行全面的标准化处理，及时发现各种安全威胁、异常行为事件，为管理人员提供全局的视角，确保业务的不间断运营安全。5、不包含云化部署需要占用的云资源。,1,套/日,16.32,0.98,15.99
42,安全服务,网络安全服务,日志审计-50日志源,1、日志审计要求提供全面的智能收集功能。包括通过连接检查和完整性检查以及可自定义的缓存功能，确保系统接收到所有数据，配置过滤和聚合功能可以消除无关数据，并且合并重复的设备日志；2、标准化日志：将各类日志统一进行解析识别，包括各种安全事件日志（攻击、入侵、异常）、各种行为事件日志（内控、违规）、各种弱点扫描日志（弱点、漏洞）、各种状态监控日志（可用性、性能、状态）；3、日志解析能力：解析功能和动态规划算法，实现灵活的未解析日志事件处理，同时支持多种解析方法（如正则表达式、分隔符、MIB信息映射配置等）。要求保证事件分析保持高效率和及时性；4、提供服务器、安全设备等日志审计与分析；支持日志源数量：50个；通过专享安全服务方式，对网络设备、安全设备、主机和应用系统日志进行全面的标准化处理，及时发现各种安全威胁、异常行为事件，为管理人员提供全局的视角，确保业务的不间断运营安全。5、不包含云化部署需要占用的云资源。,1,套/日,37.5,0.98,36.75
43,安全服务,网络安全服务,日志审计-100日志源,1、日志审计要求提供全面的智能收集功能。包括通过连接检查和完整性检查以及可自定义的缓存功能，确保系统接收到所有数据，配置过滤和聚合功能可以消除无关数据，并且合并重复的设备日志；2、标准化日志：将各类日志统一进行解析识别，包括各种安全事件日志（攻击、入侵、异常）、各种行为事件日志（内控、违规）、各种弱点扫描日志（弱点、漏洞）、各种状态监控日志（可用性、性能、状态）；3、日志解析能力：解析功能和动态规划算法，实现灵活的未解析日志事件处理，同时支持多种解析方法（如正则表达式、分隔符、MIB信息映射配置等）。要求保证事件分析保持高效率和及时性。4、提供服务器、安全设备等日志审计与分析；支持日志源数量100个；通过专享安全服务方式，对网络设备、安全设备、主机和应用系统日志进行全面的标准化处理，及时发现各种安全威胁、异常行为事件，为管理人员提供全局的视角，确保业务的不间断运营安全。5、不包含云化部署需要占用的云资源。,1,套/日,74.77,0.98,73.27
44,安全服务,网络安全服务,数据库审计（1个数据库实例）,1、要求提供事前安全风险评估：自动完成对多种数据库配置、潜在弱点、数据库用户弱口令、数据库软件补丁等的漏洞检测；2、实时行为监控：数据库审计服务会自动根据预设置的风险控制策略，结合对数据库活动的实时监控信息，进行特征检测及审计规则检测，任何尝试的攻击或违反审计规则的操作都会被检测到并实时阻断或告警；3、双向审计：系统通过对双向数据包的解析、识别及还原，不仅对数据库操作请求进行实时审计，利于事后的取证和追溯；4、要求支持多种数据库接口进行审计。支持的数据库类型：MySQL、Oracle、PostgreSQL、SQLServer、(DM8）、金仓（V8）等；5、不包含云化部署需要占用的云资源。,1,套/日,36.15,0.98,35.43
45,安全服务,网络安全服务,数据库审计（5个数据库实例）,1、要求提供事前安全风险评估：自动完成对多种数据库配置、潜在弱点、数据库用户弱口令、数据库软件补丁等的漏洞检测；2、实时行为监控：数据库审计服务会自动根据预设置的风险控制策略，结合对数据库活动的实时监控信息，进行特征检测及审计规则检测，任何尝试的攻击或违反审计规则的操作都会被检测到并实时阻断或告警；3、双向审计：系统通过对双向数据包的解析、识别及还原，不仅对数据库操作请求进行实时审计，利于事后的取证和追溯；4、要求支持多种数据库接口进行审计。支持的数据库类型：MySQL、Oracle、PostgreSQL、SQLServer、(DM8）、金仓（V8）等。5、不包含云化部署需要占用的云资源。,1,套/日,144.87,0.98,141.97
46,安全服务,网络安全服务,数据库审计（10个数据库实例）,1、要求提供事前安全风险评估：自动完成对多种数据库配置、潜在弱点、数据库用户弱口令、数据库软件补丁等的漏洞检测；2、实时行为监控：数据库审计服务会自动根据预设置的风险控制策略，结合对数据库活动的实时监控信息，进行特征检测及审计规则检测，任何尝试的攻击或违反审计规则的操作都会被检测到并实时阻断或告警；3、双向审计：系统通过对双向数据包的解析、识别及还原，不仅对数据库操作请求进行实时审计，利于事后的取证和追溯；4、要求支持多种数据库接口进行审计。支持的数据库类型：MySQL、Oracle、PostgreSQL、SQLServer、(DM8）、金仓（V8）等。5、不包含云化部署需要占用的云资源。,1,套/日,267.72,0.98,262.37
47,安全服务,网络安全服务,防火墙（500M吞吐量）,1、500M吞吐量，包含FW/IPS/AV模块；全面保障L2-L7安全的安全网关产品。通过专享安全服务方式，以用户识别、应用识别为基础，提供防火墙、入侵防护、防病毒、内容过滤、URL过滤等多重安全功能。2、不包含云化部署需要占用的云资源。,1,套/日,40.57,0.98,39.76
48,安全服务,网络安全服务,防火墙（1G吞吐量）,1、1G吞吐量，包含FW/IPS/AV模块；全面保障L2-L7安全的安全网关产品。通过专享安全服务方式，以用户识别、应用识别为基础，提供防火墙、入侵防护、防病毒、内容过滤、URL过滤等多重安全功能。2、不包含云化部署需要占用的云资源。,1,套/日,55.17,0.98,54.07
49,安全服务,网络安全服务,防火墙（2G吞吐量）,1、2G吞吐量，包含FW/IPS/AV模块；全面保障L2-L7安全的安全网关产品。通过专享安全服务方式，以用户识别、应用识别为基础，提供防火墙、入侵防护、防病毒、内容过滤、URL过滤等多重安全功能。2、不包含云化部署需要占用的云资源。,1,套/日,67.21,0.98,65.87
